ISIN,Name
101530,SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
119721,SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth
103024,SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth
119565,Sundaram Large and Midcap Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)
119566,Sundaram Large and Midcap Fund Direct Plan - Growth
105001,Sundaram Large and Midcap Fund Regular Plan - Growth
105000,Sundaram Large and Midcap Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)
119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option
119201,Tata Large & Mid Cap Fund Direct Plan - Payout of IDCW Option
101823,Tata Large & Mid Cap Fund Regular Plan - Payout of IDCW Option
101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
147750,Union Large & Midcap Fund - Direct Plan - Growth Option
147751,Union Large & Midcap Fund - Direct Plan - IDCW Option
147748,Union Large & Midcap Fund - Regular Plan - Growth Option
147749,Union Large & Midcap Fund - Regular Plan - IDCW Option
120665,UTI Large & Mid Cap Fund - Direct Plan - Growth Option
120664,UTI Large & Mid Cap Fund - Direct Plan - IDCW
100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option
100663,UTI Large & Mid Cap Fund - Regular Plan - IDCW
119620,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan
119619,Aditya Birla Sun Life Midcap Fund -DIRECT - IDCW
101591,Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW
101592,Aditya Birla Sun Life MIDCAP Fund-Growth
120505,Axis Midcap Fund - Direct Plan - Growth
120504,Axis Midcap Fund - Direct Plan - IDCW
114564,Axis Midcap Fund - Regular Plan - Growth
114565,Axis Midcap Fund - Regular Plan - IDCW
150404,BANDHAN MIDCAP FUND - GROWTH - DIRECT PLAN
150402,BANDHAN MIDCAP FUND - GROWTH - REGULAR PLAN
150401,BANDHAN MIDCAP FUND - IDCW - DIRECT PLAN
150403,BANDHAN MIDCAP FUND - IDCW - REGULAR PLAN
150212,BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - Growth Option
150211,BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - IDCW Option
150209,BARODA BNP PARIBAS Mid Cap Fund - Regular Plan - Growth Option
150210,BARODA BNP PARIBAS Mid Cap Fund - Regular Plan - IDCW Option
150817,Canara Robeco Mid Cap Fund- Direct Plan- Growth Option
